location,area_sqft,bedrooms,bathrooms,stories,age_years,garage,balcony,basement,nearby_school_score,crime_rate,property_type,price
Downtown,642,2,3,3,22,2,1,0,6.88,1.28,Villa,723692.22
Uptown,1342,2,2,2,26,0,0,1,8.14,0.8,Apartment,745493.4
Hillview,1104,1,2,3,26,2,0,1,7.53,0.87,Condo,788793.86
Old Town,863,2,2,2,11,0,1,1,9.68,1.29,Villa,697185.47
Old Town,1443,3,3,2,25,2,1,1,7.05,1.31,Condo,800754.27
Lakeview,2829,1,1,1,8,0,0,1,5.41,1.21,Villa,933946.2
Downtown,2076,2,2,2,25,1,1,0,6.51,1.24,Villa,888732.44
Hillview,2810,1,3,3,27,2,1,1,8.03,1.33,Apartment,1088796.01
Suburban,2326,1,2,3,35,0,0,0,6.28,0.21,Townhouse,856646.57
Downtown,2530,1,1,1,36,1,0,1,6.34,0.47,Apartment,825575.46
Old Town,1605,3,1,1,0,2,1,0,6.7,1.47,Townhouse,722945.9
Lakeview,2388,4,2,3,11,0,0,0,8.73,0.84,Condo,1072372.99
Uptown,2501,4,3,2,21,0,1,1,9.7,0.31,Villa,1180121.25
Uptown,1783,4,2,3,12,2,0,1,6.75,0.78,Condo,977937.63
Uptown,2408,4,3,1,24,0,1,1,5.98,0.99,Townhouse,932367.91
Uptown,2411,5,2,2,34,2,1,0,7.1,1.25,Apartment,952651.1
Old Town,1798,2,2,1,10,2,0,0,6.76,1.23,Apartment,710416.57
Downtown,1482,4,1,3,35,2,1,0,9.95,0.12,Townhouse,912347.74
Uptown,1449,5,2,3,35,2,1,1,7.32,0.71,Townhouse,932560.69
Old Town,2148,3,1,1,36,2,1,0,8.4,0.08,Apartment,851296.92
Old Town,2280,5,3,1,2,1,0,0,9.57,1.34,Townhouse,986909.76
Riverside,1664,1,1,3,11,2,0,1,8.15,0.3,Condo,907774.44
Suburban,2115,5,3,1,4,1,1,1,6.25,0.96,Apartment,931577.04
Lakeview,2414,3,1,3,4,1,1,1,8.04,0.88,Condo,1107049.18
Uptown,2440,2,2,3,2,0,0,0,7.01,0.96,Townhouse,1006478.49
Hillview,2954,1,1,1,17,2,0,0,7.11,0.87,Townhouse,1007862.67
Riverside,2802,4,1,1,3,1,0,1,9.9,1.09,Apartment,1017187.44
Uptown,1549,3,3,3,11,2,1,0,6.39,0.96,Townhouse,903157.27
Old Town,3026,2,1,1,39,1,1,1,7.34,0.18,Villa,983256.0
Old Town,1808,2,2,2,35,0,1,0,5.8,0.58,Villa,765943.26
Old Town,2675,5,3,1,37,1,0,0,5.89,0.84,Condo,926596.03
Suburban,2137,3,2,2,1,2,0,0,8.02,0.52,Apartment,917031.44
Downtown,1873,1,1,2,26,1,0,0,8.76,1.15,Apartment,782560.94
Old Town,1106,2,2,3,25,2,1,0,8.18,0.51,Villa,781145.07
Lakeview,2006,1,2,3,5,0,0,0,6.65,1.25,Townhouse,843742.7
Downtown,1242,4,1,2,36,2,0,1,5.3,0.26,Apartment,709907.85
Lakeview,2632,5,1,2,16,2,0,1,7.35,1.17,Condo,1073901.11
Uptown,2934,5,2,2,39,2,0,0,7.52,0.32,Townhouse,1130147.02
Suburban,1662,4,2,3,4,0,1,1,8.85,0.82,Condo,906857.75
Hillview,2266,4,1,1,26,1,1,0,8.2,0.51,Villa,988291.11
Suburban,1701,3,2,1,5,0,1,0,9.36,0.97,Apartment,788941.08
Uptown,1754,4,2,2,37,1,1,0,8.91,0.36,Apartment,886599.35
Hillview,2526,1,1,3,24,2,0,1,6.83,1.2,Townhouse,958881.46
Riverside,2079,3,2,3,3,1,0,1,8.16,0.88,Townhouse,982229.41
Downtown,3057,3,3,1,8,2,0,1,8.74,1.44,Townhouse,1151251.12
Lakeview,1835,1,2,1,14,2,1,1,9.78,1.08,Condo,904129.91
Old Town,2650,3,2,2,0,2,1,1,7.11,0.93,Condo,1033822.25
Lakeview,2154,4,3,2,0,2,0,0,8.24,1.25,Townhouse,1094555.9
